,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7
openrouter/google/gemini-2.5-flash-lite::Falsehood,0.06377148063546563,0.013273445063366552,0.19977964259053457,-0.06421445650906724,0.25192844164970335,0.23753703129997575,-0.008586994633226147
openrouter/google/gemini-2.5-flash-lite::Omission,0.09573650905802328,0.0766985886924224,-0.003001841193395211,-0.06785388431444808,0.08954758556724375,-0.021079718883738767,0.2729000371300325
openrouter/google/gemini-2.5-flash-lite::Equivocation,0.14177938580981508,0.05124041490028294,0.013747829352914118,-0.018698600403329654,0.07679487023949613,-0.03195265317168023,0.16922534042446138
openrouter/google/gemini-2.5-flash-lite::Paltering,-0.0027161030401670707,0.07002058056344927,-0.01943735512532359,0.002424771533899267,0.03421019046718457,0.13192218333308403,0.13258320086831932
openrouter/meta-llama/llama-4-scout::Falsehood,0.06662040110013755,0.046375694492466174,0.03436224426371368,-0.07940377223024221,0.7530315291031594,0.06576288724052262,-0.042527381100770825
openrouter/meta-llama/llama-4-scout::Omission,0.11736097756836446,0.10999442322207505,-0.023611956350402107,-0.09300432179911643,0.2245451286865972,-0.026273015352023085,0.4367587236179145
openrouter/meta-llama/llama-4-scout::Equivocation,0.2065522468309966,0.13433847013662642,0.05324705326628325,-0.018901499245597773,0.5197273225651666,-0.18577805711514758,0.19057657524359448
openrouter/meta-llama/llama-4-scout::Paltering,0.1054971256023051,0.08423045454340747,0.06416687823159169,-0.04003493649144162,0.6387356157372405,0.13522196938968534,0.08906931100604405
mistral/mistral-small-2506::Falsehood,0.1624349776080004,0.09006605891710329,0.08759023291241164,-0.39619035951891585,0.26170357867956073,0.3552497171595675,-0.04995595565889491
mistral/mistral-small-2506::Omission,0.1648961740124294,0.09356773399454751,0.011392403059763597,-0.6721156257925834,0.024603559243684743,-0.14158737760109344,0.13488992987299894
mistral/mistral-small-2506::Equivocation,0.4978901729589274,0.09513662825901459,-0.03319131970422535,-0.06177846702510494,0.20648495023230617,-0.2056015103308107,0.09605942237643215
mistral/mistral-small-2506::Paltering,0.10839782479572402,0.06635617899603541,0.03378288309454232,-0.8294944008525017,0.05451113175912109,0.11198809952724757,-0.03625156993432943
openai/gpt-4.1::Falsehood,0.11744855538734225,0.6639981337648257,-0.002785971560633666,-0.04764109146060596,0.13370509770303654,0.25989044176794684,-0.06204610888125886
openai/gpt-4.1::Omission,0.09925197417451796,0.5671845455354453,0.013977516563021047,-0.21762389537318436,-0.039739522510646504,-0.17584812029614957,0.13565733718063358
openai/gpt-4.1::Equivocation,0.1960744922429566,0.6681578370153493,-0.008921426643812657,-0.020401327255879693,0.021361655261914483,-0.19172024303416765,0.10331142548300633
openai/gpt-4.1::Paltering,0.1272719201798497,0.8894357727018545,-0.00422812669006525,-0.042280357795052785,0.050394424052583715,0.0732422972073105,-0.010613581276992743
openrouter/anthropic/claude-3-haiku::Falsehood,0.03300008378480325,0.0009712054121639397,0.7892034661379859,-0.03678276911565054,0.011526445502516676,0.07607330859097543,0.037895793338029456
openrouter/anthropic/claude-3-haiku::Omission,0.02603456581212655,0.011543057782089293,0.03074684936437204,-0.022307271897298083,0.020754082178878305,0.0980937474450735,0.41673334177730936
openrouter/anthropic/claude-3-haiku::Equivocation,-0.009645280677239139,0.03968878130615071,0.35564465238228304,-0.04656401689749098,0.01172279021448042,0.011044353882796527,0.23063576285830706
openrouter/anthropic/claude-3-haiku::Paltering,0.060032652364818105,-0.015620875381068098,0.785190422102158,-0.015731480680390934,0.06959761883733116,-0.004424928242092849,-0.043236300861311125
deepseek/deepseek-chat::Falsehood,0.40766436471333994,0.15154494725735465,0.15004533238080578,-0.11512214254103267,0.1398009404149914,0.5618932976134041,0.04704951868094657
deepseek/deepseek-chat::Omission,0.8301432065368294,0.10923246593782002,0.04739834361353953,-0.0814423605786202,0.01744776733783153,0.033172628692254194,0.08456785565881252
deepseek/deepseek-chat::Equivocation,0.9404160539382701,0.08178222697735317,0.02525356318969075,-0.06111382049507829,0.038788647703582466,-0.013066726966543063,-0.039386480294574
deepseek/deepseek-chat::Paltering,0.9078137420331869,0.10066172527735476,0.010153980053790767,-0.06240945856674393,0.06939679931549515,0.10883034954718931,0.017295363499468697
