,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
openai/gpt-4.1::Falsehood,0.1718286003685827,-0.7789041297764452,0.04548601533826245,-0.03205437391006128,0.0950514111836892,0.0050433551492010485,0.0504710909277478,-0.1017712715642768
openai/gpt-4.1::Omission,0.16529818723946416,-0.12708796981425766,-0.003375751013711643,-0.6561526623975809,0.013544852502622384,-0.2111591445842538,-0.038206562910477714,0.04724588277033601
openai/gpt-4.1::Equivocation,0.1244492614684436,-0.30889250139369,0.04866992300545249,-0.6238592168080391,-0.0038284084083750653,0.09596913836911314,0.11902906519426995,-0.04205180637512215
openai/gpt-4.1::Paltering,0.14232910358957973,-0.7130927814634386,0.026801653262399028,-0.29423828468245955,-0.02427985484813394,-0.03314930957331184,-0.03544446364623583,0.14770313272689398
mistral/mistral-small-2506::Falsehood,0.15628571311104866,-0.14838706121438508,0.11252450559226608,0.055788587683426524,0.5649216476656543,-0.047795201666245665,-0.025091195745259375,-0.17705437028635254
mistral/mistral-small-2506::Omission,0.0660601514715336,-0.028067478949039826,0.06275601319101559,-0.09202775219330485,0.45869945464232237,-0.1457250348924801,-0.0280602385132103,0.20776069067244918
mistral/mistral-small-2506::Equivocation,0.16515292933947678,-0.042558296455946915,0.05025336997828954,-0.03425992855544316,0.3893482104497508,0.06808558278275156,0.05936260674509826,0.025224389350499764
mistral/mistral-small-2506::Paltering,-0.006133892678639848,-0.06476539833192013,0.02093311647485475,-0.03984652287824451,0.370432101011888,0.008273083550083455,0.0026644628423522962,0.1998781731290161
deepseek/deepseek-chat::Falsehood,0.5558664688608544,-0.35713983489486945,0.17414858312227288,0.05866874941477765,0.13195095196056877,0.07670686784651495,0.11197461923708704,-0.24563050152257224
deepseek/deepseek-chat::Omission,0.6948099408791971,-0.010794992864277911,0.08578871757240591,-0.1324127726919187,-0.003741318307781201,-0.2832387015008141,-0.1324995926736589,0.03575816086233677
deepseek/deepseek-chat::Equivocation,0.719940855851066,-0.10386829208406416,0.054271888754347616,-0.11020047087273174,0.09224012433508659,0.09009418575927736,0.15118042175610885,-0.03399339000843781
deepseek/deepseek-chat::Paltering,0.8421515621694919,-0.13313959505254971,0.06960438387472612,-0.04558683404888115,0.014587372798121407,-0.039852077487047,-0.005548286510533363,0.041225753812612995
openrouter/google/gemini-2.5-flash-lite::Falsehood,0.13277393859826855,-0.16011651937145804,0.290383300242798,0.025711326543364645,0.1993383616487552,-0.07252810224694857,0.01891143503269048,-0.27762413442719336
openrouter/google/gemini-2.5-flash-lite::Omission,0.08402220612472927,0.026275704455078062,0.24083028746870708,-0.17731445749126562,0.017009368846905567,-0.34678763250422795,0.08059069164928143,-0.07652724404673976
openrouter/google/gemini-2.5-flash-lite::Equivocation,0.005586123601160646,-0.008411670437609686,-0.03424345240393603,-0.05227398192712281,-0.014559005211489553,-0.04653886698067222,0.3157113486552078,-0.09452503652680475
openrouter/google/gemini-2.5-flash-lite::Paltering,0.028613195406617824,-0.16047466051337192,0.014088374081683244,-0.06903661437912989,-0.0073943935183724985,-0.04205583691830191,0.020034772002065493,0.19878422511572424
openrouter/anthropic/claude-3-haiku::Falsehood,-0.01470913115530027,0.034462449123926,0.22581507950473254,-0.015758745020040724,0.0508524592638497,-0.049303109948792376,-0.12737114855241424,-0.14563039279054732
openrouter/anthropic/claude-3-haiku::Omission,0.14356231479540282,0.005918591242406158,0.09300475117983364,-0.07248484664894843,0.0656550972901175,-0.5105699536439795,0.033018418021870215,-0.03211263787979774
openrouter/anthropic/claude-3-haiku::Equivocation,0.006572883400475514,-0.07441577783547952,0.015684576944880395,0.028546618855652822,-0.0037829666201181587,-0.12342797077646095,0.280662395114135,-0.0024471031878842892
openrouter/anthropic/claude-3-haiku::Paltering,0.06030292216627574,-0.08683727174348113,-0.03432674833579193,0.02622027475860337,-0.039959752034821015,-0.2353024985820337,0.029147787141374625,0.08492756419549967
openrouter/meta-llama/llama-4-scout::Falsehood,0.12174215992128798,-0.021808631481865952,0.7280613799584901,0.004473629839613897,0.04482171013289999,-0.08527437186459755,-0.01264234813398045,-0.11897292355604394
openrouter/meta-llama/llama-4-scout::Omission,0.15674003185382251,-0.028921838848590023,0.4316936857343418,-0.15274345703893355,0.09339194419233461,-0.4503197511845376,0.20068171317579347,0.06376962561382767
openrouter/meta-llama/llama-4-scout::Equivocation,0.07778472089977603,-0.0637904995311493,0.3298950883279022,-0.08964631711170028,-0.02917364899159075,-0.11007856538269475,0.5247359841013038,0.007028042755597882
openrouter/meta-llama/llama-4-scout::Paltering,0.16788580179274806,-0.11671070421391617,0.593147556439671,-0.012675857383819293,0.04638840450401184,0.025045634040999114,0.1671359496868369,0.19372130281280206
