varied_facet,n,g_coefficient,phi_coefficient
n_judges,1,0.6140279046668687,0.27802678025908434
n_judges,2,0.7462282864401787,0.4277955686088595
n_judges,3,0.8039232545693379,0.5214231330488769
n_judges,4,0.8362508038967476,0.5854938835863075
n_judges,5,0.8569261524240975,0.6320957878422159
n_judges,6,0.8712872082331117,0.6675160485315418
n_judges,7,0.8818433787141627,0.6953479581206392
n_judges,8,0.8899299072390551,0.7177941393401557
n_judges,9,0.896322699474343,0.7362799624624035
n_convs,1,0.33939275965194776,0.23866912988111458
n_convs,2,0.49291950941711654,0.3550469815453929
n_convs,3,0.5804418552660686,0.4239555364698204
n_convs,4,0.6369938867818374,0.46951827541906055
n_convs,5,0.6765429414177652,0.5018807164288626
n_convs,6,0.7057550971118328,0.5260535444701385
n_convs,7,0.7282145704432648,0.5447962833077518
n_convs,8,0.7460202025736378,0.5597538679548462
n_convs,9,0.7604826866588903,0.5719677696657953
n_convs,10,0.7724627702901168,0.5821294820669829
n_convs,11,0.7825490712615506,0.5907161368184262
n_convs,12,0.7911577440996742,0.5980675939910832
n_convs,13,0.7985913331505755,0.6044324961910932
n_convs,14,0.8050750650885885,0.6099969473639109
n_convs,15,0.8107800646262762,0.6149030117559313
n_convs,16,0.815838679099394,0.61926101324616
n_convs,17,0.8203548734231728,0.623157930807601
n_convs,18,0.8244114513416488,0.6266632630921105
n_convs,19,0.8280751786979228,0.6298332096673173
n_convs,20,0.8314004869926238,0.6327137068812216
n_convs,21,0.8344321959545699,0.6353426684179982
n_convs,22,0.8372075454546808,0.6377516634485773
n_convs,23,0.8397577328768177,0.6399671904610045
n_convs,24,0.8421090908979637,0.6420116560324409
n_convs,25,0.844284000122188,0.6439041353143975
n_convs,26,0.8463016036891229,0.6456609689920383
n_convs,27,0.8481783722367414,0.6472962363214021
n_convs,28,0.8499285545455431,0.6488221332532076
n_convs,29,0.8515645399710807,0.6502492771423772
n_convs,30,0.8530971521732731,0.6515869541513329
n_convs,31,0.8545358888712289,0.6528433215386614
n_convs,32,0.8558891188508846,0.6540255741479494
n_convs,33,0.8571642448607497,0.6551400822765937
n_convs,34,0.8583678390933672,0.6561925065045825
n_convs,35,0.8595057564882201,0.6571878938535929
n_convs,36,0.860583229979363,0.6581307587243346
n_convs,37,0.8616049509576464,0.6590251513510401
n_convs,38,0.8625751375576888,0.6598747159628949
n_convs,39,0.8634975928660875,0.6606827404139138
n_convs,40,0.8643757547447032,0.6614521987064741
n_convs,41,0.8652127386451335,0.6621857875679539
n_convs,42,0.866011374538311,0.6628859580286637
n_convs,43,0.8667742388817794,0.6635549427803168
n_convs,44,0.8675036823855417,0.6641947799584852
n_convs,45,0.8682018542068933,0.6648073338827385
n_convs,46,0.8688707230988153,0.6653943131990305
n_convs,47,0.8695120959502443,0.6659572867961764
n_convs,48,0.8701276340859208,0.6664976978086504
n_convs,49,0.8707188676354304,0.667016875968867
n_convs,50,0.8712872082331117,0.6675160485315418
n_convs,51,0.8718339602707347,0.6679963499590724
n_convs,52,0.872360330891773,0.6684588305288348
n_convs,53,0.8728674388884503,0.668904463999848
n_convs,54,0.8733563226395695,0.6693341544565894
n_convs,55,0.8738279472076504,0.6697487424311837
n_subtypes,1,0.7514219870933747,0.566731497225318
n_subtypes,2,0.8272976281018919,0.6301611966230176
n_subtypes,3,0.8561132803075217,0.6545818925363602
n_subtypes,4,0.8712872082331117,0.6675160485315418
n_subtypes,5,0.8806525281955786,0.6755248343093342
n_subtypes,6,0.887008733528331,0.6809716507402158
n_subtypes,7,0.8916053467361423,0.6849163227631809
