,openrouter/google/gemini-2.5-flash-lite::Falsehood,openrouter/google/gemini-2.5-flash-lite::Omission,openrouter/google/gemini-2.5-flash-lite::Equivocation,openrouter/google/gemini-2.5-flash-lite::Paltering,openrouter/meta-llama/llama-4-scout::Falsehood,openrouter/meta-llama/llama-4-scout::Omission,openrouter/meta-llama/llama-4-scout::Equivocation,openrouter/meta-llama/llama-4-scout::Paltering,mistral/mistral-small-2506::Falsehood,mistral/mistral-small-2506::Omission,mistral/mistral-small-2506::Equivocation,mistral/mistral-small-2506::Paltering,openai/gpt-4.1::Falsehood,openai/gpt-4.1::Omission,openai/gpt-4.1::Equivocation,openai/gpt-4.1::Paltering,openrouter/anthropic/claude-3-haiku::Falsehood,openrouter/anthropic/claude-3-haiku::Omission,openrouter/anthropic/claude-3-haiku::Equivocation,openrouter/anthropic/claude-3-haiku::Paltering,deepseek/deepseek-chat::Falsehood,deepseek/deepseek-chat::Omission,deepseek/deepseek-chat::Equivocation,deepseek/deepseek-chat::Paltering
openrouter/google/gemini-2.5-flash-lite::Falsehood,1.0,0.05774644246639175,0.04093160769878423,-0.005810114527234863,0.22906924330427642,0.04791035063386394,0.06423040282230608,0.22254747202644912,0.25546617784052233,0.032243617124715344,0.06446162367123136,0.09039395914936053,0.09662282482819451,0.009643873916958322,0.015639933508041947,0.040236967451142976,0.19758893820682194,0.045204410999521175,0.07816518907529234,0.15899884171023798,0.2555249955097556,0.07566748681256068,0.09126057940252148,0.0825200109476358
openrouter/google/gemini-2.5-flash-lite::Omission,0.05774644246639175,1.0,0.10275306749449617,0.061610746458896144,0.059553194235834314,0.1937974231207393,0.11376699944679382,0.11538102687473142,0.0425936984074747,0.11508432171671006,0.09343021333870194,0.06590989359282577,0.0643713911411863,0.07847011180534996,0.1026291105617319,0.08685704838788724,0.016040026615670274,0.10151558151115035,0.0741611658574596,-0.00549847925537691,0.043215064672493905,0.12869785710794746,0.08507924359303119,0.11909970468903744
openrouter/google/gemini-2.5-flash-lite::Equivocation,0.04093160769878423,0.10275306749449617,1.0,0.031523472620906615,0.04211074791619109,0.09355556368542675,0.1618392729798297,0.02610154998474764,0.09968868845539275,0.11741715839696702,0.19976577414425464,-0.006716922734058578,0.09662282482819465,0.05052408456903503,0.11386987603919635,0.04023696745114291,0.04618414242252075,0.045204410999521064,-0.002668463559653071,-0.002668463559653077,0.10619064691718921,0.11617572940845182,0.13914928614186436,0.1262550542412872
openrouter/google/gemini-2.5-flash-lite::Paltering,-0.005810114527234863,0.061610746458896144,0.031523472620906615,1.0,0.03253211071349453,0.05874758864846088,0.008941309253567486,0.07215261655331552,0.037342946842161884,0.00472385118431908,0.05139111185936434,0.018225319805070334,0.06024836356383186,0.03688892304259583,0.049290005461703035,0.0709481230699025,-0.005253183976533523,0.055429570173480575,-0.0032720653773529434,-0.0032720653773529295,0.11495132673889132,-0.00655893251262671,-0.0055385340910519285,0.029682115221860615
openrouter/meta-llama/llama-4-scout::Falsehood,0.22906924330427642,0.059553194235834314,0.04211074791619109,0.03253211071349453,1.0,0.12006034632929016,0.4157852761008908,0.5296396782194692,0.2616434735885182,0.07706425222280457,0.13535653950754734,0.1259521556293702,0.1481466304084347,0.03129085108275679,0.04155377761902296,0.09587523512675206,0.04746518105488421,0.019325137507646754,-0.002606830656837446,0.08012014222851459,0.18536423204124075,0.11914567796992934,0.09360824308707091,0.1294425274760196
openrouter/meta-llama/llama-4-scout::Omission,0.04791035063386394,0.1937974231207393,0.09355556368542675,0.05874758864846088,0.12006034632929016,1.0,0.2598214241661781,0.2657038496872923,0.059785300211188934,0.15730331404186365,0.12138897540256091,0.10026934329593812,0.11249323961158915,0.13702131130976597,0.1392561003769487,0.12132899529395763,0.006633553726769031,0.21128061638673068,0.0894101052124682,-0.011577290268662022,0.09606097590399315,0.14885992885981816,0.123991830172356,0.14244147220664027
openrouter/meta-llama/llama-4-scout::Equivocation,0.06423040282230608,0.11376699944679382,0.1618392729798297,0.008941309253567486,0.4157852761008908,0.2598214241661781,1.0,0.3023154730923434,0.13083795513547905,0.10555756473572346,0.3554325734963502,0.05645948004088611,0.14228987657566963,0.12152710563537938,0.19305034041130456,0.15498023648590245,0.04581627826464212,0.0700756843508985,0.12451726131720219,0.08132646467471967,0.1086811649874089,0.1846650673792408,0.22173308537627673,0.22430637433264125
openrouter/meta-llama/llama-4-scout::Paltering,0.22254747202644912,0.11538102687473142,0.02610154998474764,0.07215261655331552,0.5296396782194692,0.2657038496872923,0.3023154730923434,1.0,0.21752200660773796,0.06183358531945611,0.14102975682986182,0.10662018778639329,0.17304570206025535,0.014179291140754944,0.09313679572918072,0.13390905297599945,0.06635887103406875,0.0650811598139163,0.054210920474592965,0.11216095347504511,0.23274038192603366,0.10866707349468502,0.13099748173211356,0.18118701306649113
mistral/mistral-small-2506::Falsehood,0.25546617784052233,0.0425936984074747,0.09968868845539275,0.037342946842161884,0.2616434735885182,0.059785300211188934,0.13083795513547905,0.21752200660773796,1.0,0.1845941281613784,0.22795429372182616,0.43575153616824297,0.23950846509976023,0.10671473354690368,0.020086643169091523,0.14919965709402316,0.11099897731987421,0.05351096612171703,0.08956186919225871,0.08956186919225878,0.41937112012875183,0.179528887106757,0.2138257933025844,0.19455461390724385
mistral/mistral-small-2506::Omission,0.032243617124715344,0.11508432171671006,0.11741715839696702,0.00472385118431908,0.07706425222280457,0.15730331404186365,0.10555756473572346,0.06183358531945611,0.1845941281613784,1.0,0.24537531646108654,0.5739451422166635,0.09450598107178261,0.2432760326683176,0.1408314513862584,0.12032586760788343,0.03770947196036282,0.044367034588214976,0.031863383550314914,0.03186338355031494,0.10916349940635062,0.21496511539527116,0.19109125601464358,0.19310716719647752
mistral/mistral-small-2506::Equivocation,0.06446162367123136,0.09343021333870194,0.19976577414425464,0.05139111185936434,0.13535653950754734,0.12138897540256091,0.3554325734963502,0.14102975682986182,0.22795429372182616,0.24537531646108654,1.0,0.04342827188866047,0.10769304770458593,0.11384446221236261,0.2122614912272213,0.14812884546744054,-0.0028846297197885223,0.034032206893616086,-0.0017967573712946107,-0.001796757371294613,0.1066943498810334,0.41643993576058896,0.49353040538407633,0.4501681638692478
mistral/mistral-small-2506::Paltering,0.09039395914936053,0.06590989359282577,-0.006716922734058578,0.018225319805070334,0.1259521556293702,0.10026934329593812,0.05645948004088611,0.10662018778639329,0.43575153616824297,0.5739451422166635,0.04342827188866047,1.0,0.13697019864523508,0.20201104371831835,0.056982897100506864,0.11949477329000312,0.06546953241245547,0.026240636427968343,0.05351117352100256,0.05351117352100245,0.20345651128797443,0.16468792713445227,0.1633117491107926,0.17897613623016181
openai/gpt-4.1::Falsehood,0.09662282482819451,0.0643713911411863,0.09662282482819465,0.06024836356383186,0.1481466304084347,0.11249323961158915,0.14228987657566963,0.17304570206025535,0.23950846509976023,0.09450598107178261,0.10769304770458593,0.13697019864523508,1.0,0.22981561074716705,0.39038403861739207,0.6646447129929601,0.022161113181885194,0.021766851503239426,-0.00798784370400634,0.02002966823523394,0.29316986855715516,0.16651391761116036,0.18566194570200148,0.19740654923980844
openai/gpt-4.1::Omission,0.009643873916958322,0.07847011180534996,0.05052408456903503,0.03688892304259583,0.03129085108275679,0.13702131130976597,0.12152710563537938,0.014179291140754944,0.10671473354690368,0.2432760326683176,0.11384446221236261,0.20201104371831835,0.22981561074716705,1.0,0.5402217988289495,0.5154535946540356,0.012826304117326142,0.05303794251184599,0.06627600009373535,-0.006080082386319724,0.08701616626826136,0.18724161633853603,0.13974044673506336,0.14531429232634852
openai/gpt-4.1::Equivocation,0.015639933508041947,0.1026291105617319,0.11386987603919635,0.049290005461703035,0.04155377761902296,0.1392561003769487,0.19305034041130456,0.09313679572918072,0.020086643169091523,0.1408314513862584,0.2122614912272213,0.056982897100506864,0.39038403861739207,0.5402217988289495,1.0,0.5921862470672415,-0.008062757061334084,-0.0010461314430865354,-0.005022072012754456,-0.005022072012754457,0.10951469783437104,0.20775276839415582,0.24900490546471124,0.22585459435501454
openai/gpt-4.1::Paltering,0.040236967451142976,0.08685704838788724,0.04023696745114291,0.0709481230699025,0.09587523512675206,0.12132899529395763,0.15498023648590245,0.13390905297599945,0.14919965709402316,0.12032586760788343,0.14812884546744054,0.11949477329000312,0.6646447129929601,0.5154535946540356,0.5921862470672415,1.0,0.008052953254461741,0.02968730345061431,0.05527034533479321,-0.007114402060999234,0.22941869568816842,0.22021095589213927,0.19123173474438135,0.2230754311860663
openrouter/anthropic/claude-3-haiku::Falsehood,0.19758893820682194,0.016040026615670274,0.04618414242252075,-0.005253183976533523,0.04746518105488421,0.006633553726769031,0.04581627826464212,0.06635887103406875,0.11099897731987421,0.03770947196036282,-0.0028846297197885223,0.06546953241245547,0.022161113181885194,0.012826304117326142,-0.008062757061334084,0.008052953254461741,1.0,0.05159789397740979,0.26556681025326123,0.6228727933324928,0.20102714641512506,0.08469226947716375,0.048836295172797174,0.04385451118676289
openrouter/anthropic/claude-3-haiku::Omission,0.045204410999521175,0.10151558151115035,0.045204410999521064,0.055429570173480575,0.019325137507646754,0.21128061638673068,0.0700756843508985,0.0650811598139163,0.05351096612171703,0.044367034588214976,0.034032206893616086,0.026240636427968343,0.021766851503239426,0.05303794251184599,-0.0010461314430865354,0.02968730345061431,0.05159789397740979,1.0,0.1843768228437644,-0.0046081545945571584,0.055429570173480325,0.061792506524513784,0.020190246322507686,0.042576898240776595
openrouter/anthropic/claude-3-haiku::Equivocation,0.07816518907529234,0.0741611658574596,-0.002668463559653071,-0.0032720653773529434,-0.002606830656837446,0.0894101052124682,0.12451726131720219,0.054210920474592965,0.08956186919225871,0.031863383550314914,-0.0017967573712946107,0.05351117352100256,-0.00798784370400634,0.06627600009373535,-0.005022072012754456,0.05527034533479321,0.26556681025326123,0.1843768228437644,1.0,0.28464086364472774,0.06280665750295668,0.06868533628981496,-0.0025437323699197567,-0.002787719766953027
openrouter/anthropic/claude-3-haiku::Paltering,0.15899884171023798,-0.00549847925537691,-0.002668463559653077,-0.0032720653773529295,0.08012014222851459,-0.011577290268662022,0.08132646467471967,0.11216095347504511,0.08956186919225878,0.03186338355031494,-0.001796757371294613,0.05351117352100245,0.02002966823523394,-0.006080082386319724,-0.005022072012754457,-0.007114402060999234,0.6228727933324928,-0.0046081545945571584,0.28464086364472774,1.0,0.12888538038326577,0.06868533628981491,0.08221706409919219,0.07462128447611764
deepseek/deepseek-chat::Falsehood,0.2555249955097556,0.043215064672493905,0.10619064691718921,0.11495132673889132,0.18536423204124075,0.09606097590399315,0.1086811649874089,0.23274038192603366,0.41937112012875183,0.10916349940635062,0.1066943498810334,0.20345651128797443,0.29316986855715516,0.08701616626826136,0.10951469783437104,0.22941869568816842,0.20102714641512506,0.055429570173480325,0.06280665750295668,0.12888538038326577,1.0,0.39081016062248497,0.3859351255264838,0.49445667696462936
deepseek/deepseek-chat::Omission,0.07566748681256068,0.12869785710794746,0.11617572940845182,-0.00655893251262671,0.11914567796992934,0.14885992885981816,0.1846650673792408,0.10866707349468502,0.179528887106757,0.21496511539527116,0.41643993576058896,0.16468792713445227,0.16651391761116036,0.18724161633853603,0.20775276839415582,0.22021095589213927,0.08469226947716375,0.061792506524513784,0.06868533628981496,0.06868533628981491,0.39081016062248497,1.0,0.8019498883075312,0.7702528577601397
