,openai/gpt-4.1::Falsehood,openai/gpt-4.1::Omission,openai/gpt-4.1::Equivocation,openai/gpt-4.1::Paltering,mistral/mistral-small-2506::Falsehood,mistral/mistral-small-2506::Omission,mistral/mistral-small-2506::Equivocation,mistral/mistral-small-2506::Paltering,deepseek/deepseek-chat::Falsehood,deepseek/deepseek-chat::Omission,deepseek/deepseek-chat::Equivocation,deepseek/deepseek-chat::Paltering,openrouter/google/gemini-2.5-flash-lite::Falsehood,openrouter/google/gemini-2.5-flash-lite::Omission,openrouter/google/gemini-2.5-flash-lite::Equivocation,openrouter/google/gemini-2.5-flash-lite::Paltering,openrouter/anthropic/claude-3-haiku::Falsehood,openrouter/anthropic/claude-3-haiku::Omission,openrouter/anthropic/claude-3-haiku::Equivocation,openrouter/anthropic/claude-3-haiku::Paltering,openrouter/meta-llama/llama-4-scout::Falsehood,openrouter/meta-llama/llama-4-scout::Omission,openrouter/meta-llama/llama-4-scout::Equivocation,openrouter/meta-llama/llama-4-scout::Paltering
openai/gpt-4.1::Falsehood,1.0,0.12320262340737007,0.3063582878439451,0.5808475443883002,0.2183616488751273,0.05596254516806138,0.0935680518849156,0.0630000313950302,0.4332975151705153,0.1384348940892323,0.23100946954905646,0.23914230285295696,0.1992666341241291,0.009899855852070535,0.024573994444799737,0.09884511976873153,-0.01164991964529897,0.04062387966263857,0.05026647171318714,0.046532302141439864,0.08265907495726502,0.1033074420337432,0.09572214372133188,0.13982388877227414
openai/gpt-4.1::Omission,0.12320262340737007,1.0,0.45181129826802824,0.33311426318310927,0.039628344735106874,0.10040792108858987,0.039285500296432796,0.031226101045246975,0.0825414836865807,0.278197095800222,0.16465687503307333,0.19444015551905403,0.02545202212674384,0.17817111621830553,0.02026632490267471,0.10027951567342422,-0.010734704330007672,0.1722416413496841,0.008592564515222641,0.06423925256396246,0.030093442777756024,0.2278593649934034,0.07987499107631875,0.04932841304364469
openai/gpt-4.1::Equivocation,0.3063582878439451,0.45181129826802824,1.0,0.3982741733039474,0.02333943764202629,0.06354875468388622,0.07547811778025593,0.04396026994350729,0.17243054366765326,0.12361266438927417,0.239735758547521,0.16686327960446667,0.07600003350307487,0.09850417608751354,0.07883165571519471,0.08238413994099106,-0.008152983530372415,0.035169360154394376,0.04025899664496621,0.008408577251962498,0.05487124936491693,0.11303180618793919,0.14723030450912694,0.11189652046548279
openai/gpt-4.1::Paltering,0.5808475443883002,0.33311426318310927,0.3982741733039474,1.0,0.0710176000307117,0.08522851449706752,0.06453832372331339,0.08009403271507327,0.26176788439405496,0.15848763096324506,0.19294467584988417,0.24870030350172864,0.0923829493735784,0.06923224537859463,0.0071197590395275625,0.17325412698538137,-0.009367150260749947,0.0357978456994394,0.05033693545312134,0.0755783614700967,0.03712160540544636,0.10218826297139214,0.088750794294724,0.14371919774572894
mistral/mistral-small-2506::Falsehood,0.2183616488751273,0.039628344735106874,0.02333943764202629,0.0710176000307117,1.0,0.22459382319538015,0.2917125534989264,0.1743130493042879,0.27133210377475353,0.11836314102603362,0.16449585747981524,0.16479137637324479,0.25838543878925885,0.04301279318867563,-0.007431882203960707,0.0069914512957690985,0.05980597862359164,0.08999354993513695,0.022214412849061428,-0.005186837712184416,0.16131935660761618,0.1267216866512541,0.03400276892652701,0.0924538153144979
mistral/mistral-small-2506::Omission,0.05596254516806138,0.10040792108858987,0.06354875468388622,0.08522851449706752,0.22459382319538015,1.0,0.18285573922725148,0.2763738948749148,0.05168057017214335,0.11955320630030278,0.09004438932394632,0.08448929443863812,0.07341836486534808,0.09649517899575331,-0.00471165015289573,0.06853317781970576,0.030626768593947036,0.13333683162437596,0.01860882283706909,0.03320528701396637,0.06579036720338031,0.16063587427069473,0.02269609454728432,0.09053272308226137
mistral/mistral-small-2506::Equivocation,0.0935680518849156,0.039285500296432796,0.07547811778025593,0.06453832372331339,0.2917125534989264,0.18285573922725148,1.0,0.09128048005129515,0.15095516529762454,0.10236941899499945,0.18456462351321418,0.15009242259195615,0.11303411336845885,-0.004678526497194938,-0.002827459803271307,0.020651812766933536,-0.0021099594510867745,0.04261090792798608,-0.00305020757497897,-0.001973332560286997,0.0569091562252989,0.05481468833468474,0.055018065633590824,0.13120110875575736
mistral/mistral-small-2506::Paltering,0.0630000313950302,0.031226101045246975,0.04396026994350729,0.08009403271507327,0.1743130493042879,0.2763738948749148,0.09128048005129515,1.0,0.036343814520061045,0.01236778085018011,0.028724900257464134,0.022148932440511065,0.018748187612232788,0.022468489097830047,-0.002352027284500912,0.05711658935997791,-0.0017551733865164012,0.007653932440335291,-0.0025373204002552404,-0.00164152007318342,0.020277371715617026,0.043547869333262726,0.007436861539488956,0.061493471156485145
deepseek/deepseek-chat::Falsehood,0.4332975151705153,0.0825414836865807,0.17243054366765326,0.26176788439405496,0.27133210377475353,0.05168057017214335,0.15095516529762454,0.036343814520061045,1.0,0.333959652453725,0.49658453548105475,0.5170105691953486,0.2753948285683669,0.07664361012503201,0.04522592175291551,0.024779407827466245,0.0033865274418110464,0.07833751612169046,0.05796728338411176,0.03252790610507365,0.2309257522067149,0.14912403433439037,0.15065034529697238,0.22710379282139906
deepseek/deepseek-chat::Omission,0.1384348940892323,0.278197095800222,0.12361266438927417,0.15848763096324506,0.11836314102603362,0.11955320630030278,0.10236941899499945,0.01236778085018011,0.333959652453725,1.0,0.4686275964143277,0.6218933994735916,0.12711506425926158,0.1864327280665156,-0.014361977887682467,0.0381489940187218,0.024081106899707272,0.25015747101475266,0.0006043871641798177,0.07676385044803066,0.16704898011660402,0.2782548090019785,0.05895232913214965,0.1437649807544719
deepseek/deepseek-chat::Equivocation,0.23100946954905646,0.16465687503307333,0.239735758547521,0.19294467584988417,0.16449585747981524,0.09004438932394632,0.18456462351321418,0.028724900257464134,0.49658453548105475,0.4686275964143277,1.0,0.6230036317795622,0.12846955861366577,0.06571012922574615,0.05134502939740159,0.030799099720137724,0.013801361470542922,0.10954398134194714,0.0326024248968581,0.015564972743284751,0.12979258106949237,0.15665441927886173,0.1489518762004411,0.1868637177957553
deepseek/deepseek-chat::Paltering,0.23914230285295696,0.19444015551905403,0.16686327960446667,0.24870030350172864,0.16479137637324479,0.08448929443863812,0.15009242259195615,0.022148932440511065,0.5170105691953486,0.6218933994735916,0.6230036317795622,1.0,0.1559211669147102,0.11174947474867165,0.002265933489698513,0.06383841876175675,0.008922914802490634,0.13177098718960853,0.02330989174696296,0.08050813300637706,0.15437576469825998,0.18576578498670349,0.11129281066802847,0.20341834500583053
openrouter/google/gemini-2.5-flash-lite::Falsehood,0.1992666341241291,0.02545202212674384,0.07600003350307487,0.0923829493735784,0.25838543878925885,0.07341836486534808,0.11303411336845885,0.018748187612232788,0.2753948285683669,0.12711506425926158,0.12846955861366577,0.1559211669147102,1.0,0.15208474242618714,0.0325527885914,-0.005795991974447249,0.12329893845784394,0.07283026638456555,0.058961895290851,0.023446458913312034,0.2734536648291152,0.17367407574332847,0.14499185797734795,0.15721595215462789
openrouter/google/gemini-2.5-flash-lite::Omission,0.009899855852070535,0.17817111621830553,0.09850417608751354,0.06923224537859463,0.04301279318867563,0.09649517899575331,-0.004678526497194938,0.022468489097830047,0.07664361012503201,0.1864327280665156,0.06571012922574615,0.11174947474867165,0.15208474242618714,1.0,0.016047215258052576,0.019168298854433403,0.09973530281351503,0.2244515745597009,0.025559034595545135,0.0493124679106075,0.22281517205921142,0.3225345179908118,0.19205837990837857,0.11996562435492639
openrouter/google/gemini-2.5-flash-lite::Equivocation,0.024573994444799737,0.02026632490267471,0.07883165571519471,0.0071197590395275625,-0.007431882203960707,-0.00471165015289573,-0.002827459803271307,-0.002352027284500912,0.04522592175291551,-0.014361977887682467,0.05134502939740159,0.002265933489698513,0.0325527885914,0.016047215258052576,1.0,-0.008682308441893388,-0.003844286192487781,0.047169208921424614,0.14624986743366497,-0.0035953558779485083,0.0008924956149437707,0.06416245997507129,0.1677817817981556,-0.00811898816917667
openrouter/google/gemini-2.5-flash-lite::Paltering,0.09884511976873153,0.10027951567342422,0.08238413994099106,0.17325412698538137,0.0069914512957690985,0.06853317781970576,0.020651812766933536,0.05711658935997791,0.024779407827466245,0.0381489940187218,0.030799099720137724,0.06383841876175675,-0.005795991974447249,0.019168298854433403,-0.008682308441893388,1.0,-0.006479073100536569,0.009084675813714308,0.04258958240350745,0.11398644219445321,-0.017911454871708105,0.0554754046508466,0.04265415778309602,0.07582607901333156
openrouter/anthropic/claude-3-haiku::Falsehood,-0.01164991964529897,-0.010734704330007672,-0.008152983530372415,-0.009367150260749947,0.05980597862359164,0.030626768593947036,-0.0021099594510867745,-0.0017551733865164012,0.0033865274418110464,0.024081106899707272,0.013801361470542922,0.008922914802490634,0.12329893845784394,0.09973530281351503,-0.003844286192487781,-0.006479073100536569,1.0,0.05423176005326687,0.024848278838996842,-0.002682993090094866,0.23850837297706873,0.05756631312363507,-0.0037516786235935293,0.03390396184437388
openrouter/anthropic/claude-3-haiku::Omission,0.04062387966263857,0.1722416413496841,0.035169360154394376,0.0357978456994394,0.08999354993513695,0.13333683162437596,0.04261090792798608,0.007653932440335291,0.07833751612169046,0.25015747101475266,0.10954398134194714,0.13177098718960853,0.07283026638456555,0.2244515745597009,0.047169208921424614,0.009084675813714308,0.05423176005326687,1.0,0.08786337160199822,0.19350798222888654,0.13395400954671957,0.32391829602054106,0.08632412733347516,0.08729532315515585
openrouter/anthropic/claude-3-haiku::Equivocation,0.05026647171318714,0.008592564515222641,0.04025899664496621,0.05033693545312134,0.022214412849061428,0.01860882283706909,-0.00305020757497897,-0.0025373204002552404,0.05796728338411176,0.0006043871641798177,0.0326024248968581,0.02330989174696296,0.058961895290851,0.025559034595545135,0.14624986743366497,0.04258958240350745,0.024848278838996842,0.08786337160199822,1.0,0.12008880154847577,0.03128617742481162,0.06763578255808737,0.19270485307718727,0.06056656920641898
openrouter/anthropic/claude-3-haiku::Paltering,0.046532302141439864,0.06423925256396246,0.008408577251962498,0.0755783614700967,-0.005186837712184416,0.03320528701396637,-0.001973332560286997,-0.00164152007318342,0.03252790610507365,0.07676385044803066,0.015564972743284751,0.08050813300637706,0.023446458913312034,0.0493124679106075,-0.0035953558779485083,0.11398644219445321,-0.002682993090094866,0.19350798222888654,0.12008880154847577,1.0,-0.007417158119478406,0.05492979776182581,0.028370283664154235,0.03704784589986099
